"LICENCE_NO","PREMISE_NAME","PREMISE_ADDRESS","CATEGORY","SUB_CATEGORY","CURRENCY","LAST_UPDATED","EASTING","NORTHING","LONGITUDE","LATITUDE"
"80406","Italian Pantry","131-133 Murray Street, HOBART, 7000","General","Tavern","2016/05/30","Wednesday 08 May 2019",526371,5252349,147.322914813166,-42.8810022091892
"80427","Nirvana on Collins","86 Collins Street, HOBART, 7000","Special","Other","2016/08/08","Wednesday 08 May 2019",526892,5252241,147.329299566281,-42.8819565920162
"80448","Villa Howden","77 Howden Road, HOWDEN, 7054","Special","Other","2017/07/11","Wednesday 08 May 2019",522771,5238052,147.279414765223,-43.0098635343187
"80577","Fat Pig Farm","80 Dillons Hill Road, GLAZIERS BAY, 7109","Special","Other","2016/08/25","Wednesday 08 May 2019",501072,5223623,147.01318202355,-43.1401365753503
"80578","Spice House","Shop 5 / 25 King Edward Street, ULVERSTONE, 7315","Special","Restaurant","2016/07/12","Wednesday 08 May 2019",430540,5443506,146.172132359967,-41.1568013120773
"80605","Hill Street Grocer Lauderdale","528 South Arm Road, LAUDERDALE, 7021","Special","Other","2016/10/17","Wednesday 08 May 2019",539671,5248614,147.486033600769,-42.9140604636662
"80648","Taproom Espresso & Gourmet Bar","192 Sandy Bay Road, SANDY BAY, 7005","General","Tavern","2017/10/29","Wednesday 08 May 2019",526712,5250813,147.327163407757,-42.8948222214475
"80692","MV Odalisque","Cleanlift Marine, 6-8 Negara Crescent, GOODWOOD, 7010","Special","Other","2016/07/05","Wednesday 08 May 2019",524454,5258400,147.299178194288,-42.8265755535293
"80697","Maclean Bay Wines","4 Harvey Avenue, BICHENO, 7215","Special","Online / Internet","2016/07/04","Wednesday 08 May 2019",607301,5363663,148.293023275,-41.8716766392262
"80743","Simple Cider","69 Wentworth Street, SOUTH HOBART, 7004","Special","Online / Internet","2016/07/04","Wednesday 08 May 2019",524877,5250644,147.304696497078,-42.8964061063871
"80768","Liveat Fresh Eating (Hobart)","118 Liverpool Street, HOBART, 7000","Special","Restaurant","2016/08/01","Wednesday 08 May 2019",526645,5252194,147.326277265105,-42.8823884924503
"80769","Kinvarra Estate","1211 Glenora Road, PLENTY, 7140","Special","Wine Producer - Grape","2016/07/05","Wednesday 08 May 2019",493798,5267570,146.924223027461,-42.7443615420563
"80777","Mayfair Hotel Hobart","17-19 Cavell Street, WEST HOBART, 7000","Special","Restaurant/Accommodation","2018/01/12","Wednesday 08 May 2019",525715,5251847,147.314905156183,-42.8855451627623
